evaluation_id,human_winner,claude_winner,claude_total_score,mistral_winner,mistral_total_score,prometheus_winner,prometheus_total_score,human_choice_numeric
CG001_sabia-3.1_2_General Knowledge_detailed_en_vs_pt,Tie,A,5.0,A,4.75,Tie,3.75,0
CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile,B,A,4.75,A,4.75,A,5.0,-1
CG002_2_General Knowledge_sabia-3.1_contextual_vs_structured_en,B,B,4.5,B,4.75,Tie,4.0,-1
CG002_3_General Knowledge_sabia-3.1_detailed_vs_structured_en,A,A,4.75,A,4.75,A,4.75,1
CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o,Tie,B,4.75,A,4.75,B,4.75,0
CG002_gpt-4o_3_General Knowledge_detailed_en_vs_pt,B,B,4.75,Tie,5.0,Tie,4.75,-1
CG002_llama-3.3-70b-versatile_5_General Knowledge_detailed_en_vs_pt,Tie,B,4.0,Tie,5.0,B,4.0,0
CG003_2_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1,A,Tie,4.75,A,4.75,Tie,4.75,1
CG003_sabia-3.1_3_General Knowledge_detailed_en_vs_pt,Tie,A,5.0,A,4.75,Tie,3.0,0
CG004_3_General Knowledge_gemini-1.5-pro-latest_contextual_vs_structured_en,B,B,4.75,B,4.75,B,5.0,-1
CG004_gemini-1.5-pro-latest_4_General Knowledge_minimum_en_vs_pt,B,A,5.0,A,4.75,Tie,4.75,-1
CG004_sabia-3.1_5_General Knowledge_detailed_en_vs_pt,Tie,A,5.0,A,4.75,Tie,3.75,0
CG005_llama-3.3-70b-versatile_4_General Knowledge_detailed_en_vs_pt,A,B,2.75,Tie,5.0,Tie,4.75,1
CG005_sabia-3.1_3_General Knowledge_detailed_en_vs_pt,B,A,5.0,A,4.75,Tie,4.5,-1
CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1,A,Tie,4.75,A,4.75,Tie,3.75,1
CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B,B,4.75,A,4.75,Tie,3.75,-1
CG006_3_General Knowledge_gemini-1.5-pro-latest_detailed_vs_structured_en,B,B,4.75,A,4.75,Tie,4.5,-1
CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile,B,A,4.75,A,4.75,A,5.0,-1
CG006_gpt-4o_3_General Knowledge_contextual_en_vs_pt,A,A,5.0,A,4.75,A,5.0,1
CG007_3_General Knowledge_gemini-1.5-pro-latest_minimum_vs_contextual_en,Tie,Tie,4.75,A,4.75,A,5.0,0
CG008_1_General Knowledge_gpt-4o_minimum_vs_structured_en,B,B,4.75,B,4.75,Tie,4.5,-1
CG008_2_General Knowledge_gpt-4o_contextual_vs_structured_en,A,B,4.75,B,4.75,Tie,4.5,1
CG008_2_General Knowledge_llama-3.3-70b-versatile_contextual_vs_structured_en,A,A,4.75,A,4.75,A,4.5,1
CG008_3_General Knowledge_llama-3.3-70b-versatile_minimum_vs_contextual_en,A,Tie,4.75,B,5.0,A,4.75,1
CG008_gemini-1.5-pro-latest_5_General Knowledge_structured_en_vs_pt,B,B,4.0,Tie,5.0,Tie,4.75,-1
CG009_2_General Knowledge_gemini-1.5-pro-latest_minimum_vs_contextual_en,Tie,Tie,5.0,A,4.75,Tie,4.75,0
CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,B,B,4.75,A,4.75,B,5.0,-1
CG009_3_General Knowledge_minimum_gpt-4o_vs_llama-3.3-70b-versatile,Tie,B,4.75,Tie,5.0,A,5.0,0
CG009_gemini-1.5-pro-latest_2_General Knowledge_contextual_en_vs_pt,B,B,4.75,A,4.75,A,5.0,-1
CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,A,4.75,A,4.75,A,5.0,1
CG010_llama-3.3-70b-versatile_2_General Knowledge_detailed_en_vs_pt,B,A,4.5,A,4.75,Tie,4.75,-1
CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,B,5.0,B,5.0,Tie,4.5,-1
CG011_gemini-1.5-pro-latest_3_General Knowledge_detailed_en_vs_pt,A,A,5.0,A,5.0,A,5.0,1
CG012_1_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,B,A,4.5,A,4.75,A,4.75,-1
CG012_2_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1,B,Tie,4.75,A,4.75,Tie,4.75,-1
CG012_gemini-1.5-pro-latest_4_General Knowledge_structured_en_vs_pt,B,B,4.0,Tie,5.0,B,5.0,-1
CG013_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1,B,B,4.75,B,4.75,Tie,4.5,-1
CG013_2_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,B,Tie,4.75,A,4.75,Tie,4.75,-1
CG013_5_General Knowledge_llama-3.3-70b-versatile_contextual_vs_structured_en,A,B,5.0,B,4.75,Tie,4.75,1
CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,Tie,B,4.75,B,4.75,Tie,4.5,0
CG013_llama-3.3-70b-versatile_1_General Knowledge_detailed_en_vs_pt,Tie,A,4.75,A,4.75,Tie,4.75,0
CG014_4_General Knowledge_structured_gpt-4o_vs_sabia-3.1,B,B,4.75,A,5.0,Tie,4.25,-1
CG014_gemini-1.5-pro-latest_3_General Knowledge_detailed_en_vs_pt,Tie,A,5.0,A,4.75,Tie,4.0,0
CG015_1_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,Tie,B,5.0,A,4.75,Tie,4.75,0
CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,B,5.0,Tie,4.75,Tie,4.25,1
