evaluation_id,human_winner
CG001_sabia-3.1_2_General Knowledge_detailed_en_vs_pt,Tie
CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B
CG002_2_General Knowledge_sabia-3.1_contextual_vs_structured_en,B
CG002_3_General Knowledge_sabia-3.1_detailed_vs_structured_en,A
CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,Tie
CG002_gpt-4o_3_General Knowledge_detailed_en_vs_pt,B
CG002_llama-3.3-70b-versatile_5_General Knowledge_detailed_en_vs_pt,Tie
CG003_2_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_en,A
CG003_sabia-3.1_3_General Knowledge_detailed_en_vs_pt,Tie
CG004_3_General Knowledge_gemini-1.5-pro-latest_contextual_vs_structured_en,B
CG004_gemini-1.5-pro-latest_4_General Knowledge_minimum_en_vs_pt,B
CG004_sabia-3.1_5_General Knowledge_detailed_en_vs_pt,Tie
CG005_llama-3.3-70b-versatile_4_General Knowledge_detailed_en_vs_pt,A
CG005_sabia-3.1_3_General Knowledge_detailed_en_vs_pt,B
CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A
CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B
CG006_3_General Knowledge_gemini-1.5-pro-latest_detailed_vs_structured_en,B
CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B
CG006_gpt-4o_3_General Knowledge_contextual_en_vs_pt,A
CG007_3_General Knowledge_gemini-1.5-pro-latest_minimum_vs_contextual_en,Tie
CG008_1_General Knowledge_gpt-4o_minimum_vs_structured_en,B
CG008_2_General Knowledge_gpt-4o_contextual_vs_structured_en,A
CG008_2_General Knowledge_llama-3.3-70b-versatile_contextual_vs_structured_en,A
CG008_3_General Knowledge_llama-3.3-70b-versatile_minimum_vs_contextual_en,A
CG008_gemini-1.5-pro-latest_5_General Knowledge_structured_en_vs_pt,B
CG009_2_General Knowledge_gemini-1.5-pro-latest_minimum_vs_contextual_en,Tie
CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,B
CG009_3_General Knowledge_minimum_gpt-4o_vs_llama-3.3-70b-versatile_en,Tie
CG009_gemini-1.5-pro-latest_2_General Knowledge_contextual_en_vs_pt,B
CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A
CG010_llama-3.3-70b-versatile_2_General Knowledge_detailed_en_vs_pt,B
CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B
CG011_gemini-1.5-pro-latest_3_General Knowledge_detailed_en_vs_pt,A
CG012_1_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,B
CG012_2_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_en,B
CG012_gemini-1.5-pro-latest_4_General Knowledge_structured_en_vs_pt,B
CG013_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_en,B
CG013_2_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,B
CG013_5_General Knowledge_llama-3.3-70b-versatile_contextual_vs_structured_en,A
CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,Tie
CG013_llama-3.3-70b-versatile_1_General Knowledge_detailed_en_vs_pt,Tie
CG014_4_General Knowledge_structured_gpt-4o_vs_sabia-3.1_en,B
CG014_gemini-1.5-pro-latest_3_General Knowledge_detailed_en_vs_pt,Tie
CG015_1_General Knowledge_llama-3.3-70b-versatile_contextual_vs_detailed_en,Tie
CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A
CG015_gemini-1.5-pro-latest_3_General Knowledge_contextual_en_vs_pt,A
CG015_llama-3.3-70b-versatile_3_General Knowledge_minimum_en_vs_pt,A
CG016_gemini-1.5-pro-latest_1_General Knowledge_minimum_en_vs_pt,B
