timestamp,evaluation_id,human_choice,human_id
30/09/2025 06:59:16,CG019_3_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759226290086-spowi1b0l
30/09/2025 06:59:31,CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759226290086-spowi1b0l
30/09/2025 06:59:55,CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:10,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:19,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:26,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759226290086-spowi1b0l
30/09/2025 07:00:36,CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,Empate,user-1759226290086-spowi1b0l
30/09/2025 07:00:45,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:53,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:56,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,B,user-1759226290086-spowi1b0l
30/09/2025 10:53:53,TC008_3_Technical_gpt-4o_contextual_vs_detailed_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 10:54:23,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 10:55:23,CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,Empate,user-1759240312224-9awp9zuh0
30/09/2025 10:56:30,CR006_4_Creative_gpt-4o_contextual_vs_detailed_pt,B,user-1759240312224-9awp9zuh0
30/09/2025 10:57:14,CR006_1_Creative_gemini-1.5-pro-latest_detailed_vs_structured_pt,A,user-1759240312224-9awp9zuh0
