question_id,domain,prompt_minimum_en,prompt_minimum_pt,prompt_contextual_en,prompt_contextual_pt,prompt_detailed_en,prompt_detailed_pt,prompt_structured_en,prompt_structured_pt
CG001,General Knowledge,What were the main causes of World War I?,Quais foram as principais causas da Primeira Guerra Mundial?,I'm trying to learn about European history. What were the main causes of World War I?,Eu estou aprendendo sobre a história da Europa. Qual foi a principal causa da Primeira Guerra Mundial?,"I'm trying to learn about European history and want a clear explanation of the main causes of World War I. A complete answer should cover the concepts of militarism, the alliance system, imperialism, and nationalism.","Estou tentando aprender sobre a história europeia e quero uma explicação clara das principais causas da Primeira Guerra Mundial. Uma resposta completa deve abranger os conceitos de militarismo, sistema de alianças, imperialismo e nacionalismo.","Here is an example of a clear, comprehensive answer to a historical question for a curious learner:
Question: ""What were the main causes of the fall of the Western Roman Empire?""
Answer: ""The fall of the Western Roman Empire was a complex process. Key causes include: 1. Internal Political Instability with a series of weak emperors. 2. Economic Crises due to heavy taxation and inflation. 3. Overexpansion, which made the empire too large to defend. 4. Constant pressure and invasions from Barbarian tribes.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""What were the main causes of World War I?""","Aqui está um exemplo de uma resposta clara e abrangente a uma pergunta histórica para um aluno curioso:
Pergunta: ""Quais foram as principais causas da queda do Império Romano do Ocidente?""
Resposta: ""A queda do Império Romano do Ocidente foi um processo complexo. As principais causas incluem: 1. Instabilidade política interna com uma série de imperadores fracos. 2. Crises econômicas devido a impostos pesados e inflação. 3. Expansão excessiva, que tornou o império grande demais para ser defendido. 4. Pressão e invasões constantes de tribos bárbaras.""

--
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Quais foram as principais causas da Primeira Guerra Mundial?"""
CG002,General Knowledge,Explain the significance of the fall of the Berlin Wall.,Explique o significado da queda do Muro de Berlim.,I often hear about the fall of the Berlin Wall but never fully understood it. Can you explain its significance?,"Ouço falar muito sobre a queda do Muro de Berlim, mas nunca a compreendi completamente. Você pode explicar o seu significado?",I want to understand the significance of the fall of the Berlin Wall. A good explanation should address its immediate impact on Germany and its broader meaning for the end of the Cold War.,Quero entender o significado da queda do Muro de Berlim. Uma boa explicação deve abordar seu impacto imediato na Alemanha e seu significado mais amplo para o fim da Guerra Fria.,"Here is an example of a clear, comprehensive answer about a historical event's significance:
Question: ""Explain the significance of the 1969 Moon Landing.""
Answer: ""The significance of the Moon Landing is twofold. Technologically, it represented the peak of the Space Race and drove many innovations. Symbolically, it was a powerful demonstration of human potential and a major geopolitical moment in the Cold War.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""Explain the significance of the fall of the Berlin Wall.""","Aqui está um exemplo de uma resposta clara e abrangente sobre a importância de um evento histórico:
Pergunta: ""Explique a importância do pouso na Lua em 1969.""
Resposta: ""A importância do pouso na Lua é dupla. Tecnologicamente, representou o auge da Corrida Espacial e impulsionou muitas inovações. Simbolicamente, foi uma poderosa demonstração do potencial humano e um importante momento geopolítico na Guerra Fria.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Explique a importância da queda do Muro de Berlim."""
CG003,General Knowledge,Who was Cleopatra and what was her role in ancient Egypt?,Quem foi Cleópatra e qual foi seu papel no Egito Antigo?,I've heard Cleopatra's name many times and want to finally understand who she was. What was her role in ancient Egypt?,Já ouvi o nome de Cleópatra muitas vezes e quero finalmente entender quem ela era. Qual era o seu papel no Egito Antigo?,"I'd like a complete profile of Cleopatra to understand her importance. The explanation should cover her rise to power, her relationships with Julius Caesar and Mark Antony, and her legacy.
","Gostaria de um perfil completo de Cleópatra para entender sua importância. A explicação deve abranger sua ascensão ao poder, seus relacionamentos com Júlio César e Marco Antônio, e seu legado.","Here is an example of a clear, comprehensive answer about a historical figure:
Question: ""Who was Alexander the Great and what was his role?""
Answer: ""Alexander the Great was the king of Macedon who created a vast empire. His role was both a military conqueror, leading an army across Asia, and a cultural diffuser, spreading Greek culture and ideas, a legacy known as Hellenization.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""Who was Cleopatra and what was her role in ancient Egypt?""","Aqui está um exemplo de uma resposta clara e abrangente sobre uma figura histórica:
Pergunta: ""Quem foi Alexandre, o Grande, e qual foi o seu papel?""
Resposta: ""Alexandre, o Grande, foi o rei da Macedônia que criou um vasto império. Seu papel foi tanto o de conquistador militar, liderando um exército pela Ásia, quanto o de difusor cultural, disseminando a cultura e as ideias gregas, um legado conhecido como helenização.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Quem foi Cleópatra e qual foi o seu papel no Egito Antigo?"""
CG004,General Knowledge,Describe the Proclamation of the Republic in Brazil in 1889.,Descreva a Proclamação da República no Brasil em 1889.,"As someone interested in learning more about Brazilian history, could you describe the Proclamation of the Republic in 1889?","Como alguém interessado em aprender mais sobre a história do Brasil, você poderia descrever a Proclamação da República em 1889?","To better understand Brazilian history, please describe the Proclamation of the Republic in 1889. A complete answer should explain the factors that led to the monarchy's fall and the role of Marechal Deodoro da Fonseca.","Para entender melhor a história do Brasil, descreva a Proclamação da República em 1889. Uma resposta completa deve explicar os fatores que levaram à queda da monarquia e o papel do Marechal Deodoro da Fonseca.","Here is an example of a clear, comprehensive answer about a national historical event:
Question: ""Describe the American Declaration of Independence.""
Answer: ""The Declaration of Independence was the formal statement from 1776 that announced the American colonies' separation from Great Britain. It explained the philosophical case for revolution, based on natural rights, and listed grievances against the King.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""Describe the Proclamation of the Republic in Brazil in 1889.""","Aqui está um exemplo de uma resposta clara e abrangente sobre um evento histórico nacional:
Pergunta: ""Descreva a Declaração de Independência dos Estados Unidos.""
Resposta: ""A Declaração de Independência foi a declaração formal de 1776 que anunciou a separação das colônias americanas da Grã-Bretanha. Ela explicou a justificativa filosófica para a revolução, baseada em direitos naturais, e listou as queixas contra o rei.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Descreva a Proclamação da República no Brasil em 1889."""
CG005,General Knowledge,"What was the ""Diretas Já"" movement in Brazil?","O que foi o movimento ""Diretas Já"" no Brasil?","I need to explain to a friend, in a simple way, what the ""Diretas Já"" movement in Brazil was.","Preciso explicar a um amigo, de forma simples, o que foi o movimento ""Diretas Já"" no Brasil.","I need to explain to a friend what the ""Diretas Já"" movement in Brazil was. A complete explanation should describe what the movement was demanding, the time period it happened in, and its final outcome.","Preciso explicar a um amigo o que foi o movimento das Diretas Já no Brasil. Uma explicação completa deve descrever as reivindicações do movimento, o período em que ocorreu e seu resultado final.","Here is an example of a clear, comprehensive explanation of a social movement:
Question: ""What was the anti-apartheid movement in South Africa?""
Answer: ""The anti-apartheid movement was a struggle against racial segregation in South Africa. It was led internally by figures like Nelson Mandela through protests, and supported internationally by economic sanctions and cultural boycotts, which pressured the government until the system was dismantled.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""What was the 'Diretas Já' movement in Brazil?""","Aqui está um exemplo de uma explicação clara e abrangente de um movimento social:
Pergunta: ""O que foi o movimento antiapartheid na África do Sul?""
Resposta: ""O movimento antiapartheid foi uma luta contra a segregação racial na África do Sul. Foi liderado internamente por figuras como Nelson Mandela por meio de protestos e apoiado internacionalmente por sanções econômicas e boicotes culturais, que pressionaram o governo até o desmantelamento do sistema.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""O que foi o movimento das Diretas Já no Brasil?"""
CG006,General Knowledge,"Explain the importance of the ""Lei Áurea"" (Golden Law) in Brazil.",Explique a importância da Lei Áurea no Brasil.,"I'm learning about the history of Brazil and came across the ""Lei Áurea"". Can you explain its importance?",Estou aprendendo sobre a história do Brasil e me deparei com a Lei Áurea. Você pode explicar a importância dela?,"To help with my studies, explain the importance of the ""Lei Áurea"". A complete answer should describe what the law established in 1888 and also discuss its limitations regarding the integration of former slaves.","Para auxiliar meus estudos, explique a importância da Lei Áurea. Uma resposta completa deve descrever o que a lei estabeleceu em 1888 e também discutir suas limitações em relação à integração de ex-escravos.","Here is an example of a clear, comprehensive explanation of a landmark law:
Question: ""Explain the importance of the Civil Rights Act of 1964 in the US.""
Answer: ""The Civil Rights Act of 1964 is a landmark US law that outlawed discrimination based on race, color, religion, sex, or national origin. Its importance was legally ending segregation in public places and banning employment discrimination, but it had limitations, as it didn't fully address issues like voting rights.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""Explain the importance of the 'Lei Áurea' in Brazil.""","Aqui está um exemplo de uma explicação clara e abrangente de uma lei histórica:
Pergunta: ""Explique a importância da Lei dos Direitos Civis de 1964 nos EUA.""
Resposta: ""A Lei dos Direitos Civis de 1964 é uma lei histórica nos EUA que proibiu a discriminação com base em raça, cor, religião, sexo ou nacionalidade. Sua importância era acabar legalmente com a segregação em locais públicos e proibir a discriminação no emprego, mas tinha limitações, pois não abordava completamente questões como o direito ao voto.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Explique a importância da Lei Áurea no Brasil."""
CG007,General Knowledge,What is the process of desertification and what are its main causes?,O que é o processo de desertificação e quais são suas principais causas?,I want to learn more about environmental issues. What is the process of desertification and what are its main causes?,Quero aprender mais sobre questões ambientais. O que é o processo de desertificação e quais são suas principais causas?,"For my own understanding, please define the process of desertification. A complete answer should also list and explain at least three main causes, including both natural and human-related factors.
","Para meu próprio entendimento, por favor, defina o processo de desertificação. Uma resposta completa também deve listar e explicar pelo menos três causas principais, incluindo fatores naturais e humanos.","Here is an example of a clear, comprehensive answer to an environmental question:
Question: ""What is acid rain and what are its main causes?""
Answer: ""Acid rain is any form of precipitation with high levels of nitric and sulfuric acids. Its main causes are the burning of fossil fuels by power plants and vehicles, which release sulfur dioxide and nitrogen oxides into the atmosphere. These chemicals then react with water to form acids.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""What is the process of desertification and what are its main causes?""","Aqui está um exemplo de uma resposta clara e abrangente a uma pergunta sobre meio ambiente:
Pergunta: ""O que é chuva ácida e quais são suas principais causas?""
Resposta: ""Chuva ácida é qualquer forma de precipitação com altos níveis de ácidos nítrico e sulfúrico. Suas principais causas são a queima de combustíveis fósseis por usinas de energia e veículos, que liberam dióxido de enxofre e óxidos de nitrogênio na atmosfera. Esses produtos químicos reagem com a água para formar ácidos.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""O que é o processo de desertificação e quais são suas principais causas?"""
CG008,General Knowledge,Describe the water cycle.,Descreva o ciclo da água.,"I want to understand the basics of the water cycle for myself, can you describe it in a simple way?",Quero entender os princípios básicos do ciclo da água. Você pode descrevê-lo de uma forma simples?,"I'd like a simple but complete description of the water cycle. The answer must explain the main stages: Evaporation, Condensation, Precipitation, and Collection.","Gostaria de uma descrição simples, mas completa, do ciclo da água. A resposta deve explicar as principais etapas: Evaporação, Condensação, Precipitação e Coleta.","Here is an example of a simple, clear explanation of a biological cycle:
Question: ""Describe the life cycle of a butterfly.""
Answer: ""The life cycle of a butterfly has four stages. It starts as an egg. The egg hatches into a larva, which we call a caterpillar. The caterpillar then becomes a pupa inside a chrysalis. Finally, the adult butterfly emerges from the chrysalis.""

---
Now, using the same simple and clear style, answer the following question:
Question: ""Describe the water cycle.""","Aqui está um exemplo de uma explicação simples e clara de um ciclo biológico:
Pergunta: ""Descreva o ciclo de vida de uma borboleta.""
Resposta: ""O ciclo de vida de uma borboleta tem quatro estágios. Começa como um ovo. O ovo eclode e se transforma em uma larva, que chamamos de lagarta. A lagarta então se transforma em uma pupa dentro de uma crisálida. Finalmente, a borboleta adulta emerge da crisálida.""

---
Agora, usando o mesmo estilo simples e claro, responda à seguinte pergunta:
Pergunta: ""Descreva o ciclo da água."""
CG009,General Knowledge,Where is the Great Barrier Reef located and why is it important?,Onde a Grande Barreira de Corais está localizada e por que ela é importante?,I'm just curious about world wonders. Where is the Great Barrier Reef located and why is it important?,Estou curioso sobre as maravilhas do mundo. Onde fica a Grande Barreira de Corais e por que ela é importante?,"I'd like a complete overview of the Great Barrier Reef. The answer must state its location off the coast of Australia and explain its importance for both marine biodiversity and the environment.
",Gostaria de uma visão geral completa da Grande Barreira de Corais. A resposta deve indicar sua localização na costa da Austrália e explicar sua importância para a biodiversidade marinha e para o meio ambiente.,"Here is an example of a clear, comprehensive answer about a major landmark:
Question: ""Where is the Amazon Rainforest located and why is it important?""
Answer: ""The Amazon Rainforest is located in South America, mostly in Brazil. It is critically important because it houses immense biodiversity, plays a huge role in regulating the world's climate, and is vital for indigenous communities.""

---
Now, using the same direct and clear style, answer the following question:
Question: ""Where is the Great Barrier Reef located and why is it important?""","Aqui está um exemplo de uma resposta clara e abrangente sobre um marco importante:
Pergunta: ""Onde está localizada a Floresta Amazônica e por que ela é importante?""
Resposta: ""A Floresta Amazônica está localizada na América do Sul, principalmente no Brasil. Ela é extremamente importante porque abriga uma imensa biodiversidade, desempenha um papel fundamental na regulação do clima mundial e é vital para as comunidades indígenas.""

---
Agora, usando o mesmo estilo direto e claro, responda à seguinte pergunta:
Pergunta: ""Onde está localizada a Grande Barreira de Corais e por que ela é importante?"""
CG010,General Knowledge,Explain the theory of general relativity by Albert Einstein.,Explique a teoria da relatividade geral de Albert Einstein.,"As a science fiction fan, I want to finally understand the basic idea behind general relativity.","Como fã de ficção científica, quero finalmente entender a ideia básica por trás da relatividade geral.","As a science fiction fan, please explain the core concept of Einstein's theory of general relativity. A complete explanation should describe how gravity is seen as the curvature of spacetime and mention at least one of its key predictions.","Como fã de ficção científica, por favor, explique o conceito central da teoria da relatividade geral de Einstein. Uma explicação completa deve descrever como a gravidade é vista como a curvatura do espaço-tempo e mencionar pelo menos uma de suas principais previsões.","Here is an example of a simple explanation of a complex physics concept:
Question: ""Explain quantum entanglement.""
Answer: ""Imagine you have a pair of magic coins that are linked. No matter how far apart they are, if you flip one and it lands on heads, the other will instantly land on tails. Quantum entanglement is like that for tiny particles – they have a connection where the state of one instantly affects the other.""

---
Now, using the same simple analogical style, answer the following question:
Question: ""Explain the theory of general relativity by Albert Einstein.""","Aqui está um exemplo de uma explicação simples de um conceito complexo da física:
Pergunta: ""Explique o emaranhamento quântico.""
Resposta: ""Imagine que você tem um par de moedas mágicas interligadas. Não importa a distância entre elas, se você lançar uma e ela cair em cara, a outra cairá instantaneamente em coroa. O emaranhamento quântico é assim para partículas minúsculas – elas têm uma conexão em que o estado de uma afeta instantaneamente a outra.""

---
Agora, usando o mesmo estilo analógico simples, responda à seguinte pergunta:
Pergunta: ""Explique a teoria da relatividade geral de Albert Einstein."""
